date,occasion,top10_gross,top10_wow_change,num_releases,top_release,week_no,year,month_week,weekend
"Dec 28-Jan 1, 1985",New Year's long wknd,"$72,719,625",-,22,Beverly Hills Cop,52,1984,Dec_w4,1984_Dec_w4
Dec 28-30,,"$451,773",+55.7%,1,Ghostbusters,52,1984,Dec_w4,1984_Dec_w4
Dec 21-23,,"$290,196",-99.2%,1,Ghostbusters,51,1984,Dec_w3,1984_Dec_w3
Dec 21-25,Christmas long wknd,"$49,021,775",-,20,Beverly Hills Cop,51,1984,Dec_w3,1984_Dec_w3
Dec 14-16,,"$35,465,869",-0.4%,16,Beverly Hills Cop,50,1984,Dec_w2,1984_Dec_w2
Dec 7-9,,"$35,617,642",+84.4%,16,Beverly Hills Cop,49,1984,Dec_w1,1984_Dec_w1
Nov 30-Dec 2,Post-Thanksgiving,"$19,313,112",-37.1%,15,Missing in Action,48,1984,Nov_w4,1984_Nov_w4
Nov 23-25,Thanksgiving 3-Day,"$30,715,157",+17.9%,16,Supergirl,47,1984,Nov_w3,1984_Nov_w3
Nov 22-25,Thanksgiving 4-Day,"$1,132,403",-,1,Ghostbusters,47,1984,Nov_w3,1984_Nov_w3
Nov 21-25,Thanksgiving 5-Day,"$1,235,264",-,1,Ghostbusters,47,1984,Nov_w3,1984_Nov_w3
Nov 16-18,,"$26,050,538",+18.4%,16,Missing in Action,46,1984,Nov_w2,1984_Nov_w2
Nov 9-11,,"$21,996,915",+2.7%,16,"Oh, God! You Devil",45,1984,Nov_w1,1984_Nov_w1
Nov 2-4,,"$21,415,987",-8.9%,15,The Terminator,44,1984,Oct_w5,1984_Oct_w5
Oct 26-28,,"$23,518,309",+3.1%,15,The Terminator,43,1984,Oct_w4,1984_Oct_w4
Oct 19-21,,"$22,806,801",+5.1%,17,Teachers,42,1984,Oct_w3,1984_Oct_w3
Oct 12-14,,"$21,696,916",+968.9%,16,Teachers,41,1984,Oct_w2,1984_Oct_w2
Oct 5-7,,"$2,029,921",-91.7%,1,Ghostbusters,40,1984,Oct_w1,1984_Oct_w1
Oct 5-8,Indig. Peoples' Day wknd,"$29,850,702",-,16,Teachers,40,1984,Oct_w1,1984_Oct_w1
Sep 28-30,,"$24,455,746",-3.4%,18,All of Me,39,1984,Sep_w4,1984_Sep_w4
Sep 21-23,,"$25,311,934",+17.9%,18,All of Me,38,1984,Sep_w3,1984_Sep_w3
Sep 14-16,,"$21,466,596",-9.6%,14,Ghostbusters,37,1984,Sep_w2,1984_Sep_w2
Sep 7-9,,"$23,747,687",+374.5%,16,Tightrope,36,1984,Sep_w1,1984_Sep_w1
Aug 31-Sep 2,,"$5,004,808",-85%,1,Ghostbusters,35,1984,Aug_w5,1984_Aug_w5
Aug 31-Sep 3,Labor Day wknd,"$41,990,317",-,16,Tightrope,35,1984,Aug_w5,1984_Aug_w5
Aug 24-26,,"$33,468,316",-19.9%,14,Tightrope,34,1984,Aug_w4,1984_Aug_w4
Aug 17-19,,"$41,775,154",+10%,14,Tightrope,33,1984,Aug_w3,1984_Aug_w3
Aug 10-12,,"$37,984,188",+8.9%,16,Red Dawn,32,1984,Aug_w2,1984_Aug_w2
Aug 3-5,,"$34,878,491",-18.6%,17,Ghostbusters,31,1984,Aug_w1,1984_Aug_w1
