"","ag.artist_name","ag.artist_id","ag.album_type","ag.album_release_date","ag.album_release_year","ag.album_release_date_precision","ag.danceability","ag.energy","ag.energy.1","ag.key","ag.loudness","ag.mode","ag.speechiness","ag.acousticness","ag.instrumentalness","ag.liveness","ag.liveness.1","ag.valence","ag.tempo","ag.track_id","ag.duration_ms","ag.explicit","ag.is_local","ag.track_name","ag.track_number","ag.type","ag.album_name","ag.key_name","ag.mode_name","ag.key_mode"
"1","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2021-11-12",2021,"day",0.696,0.553,0.553,1,-8.702,1,0.0759,0.097,3.91e-06,0.617,0.617,0.674,114.993,"4K09vJ27xCOreumtSuU6Ao",63060,FALSE,FALSE,"Silk Sonic Intro",1,"track","An Evening With Silk Sonic","C#","major","C# major"
"2","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2021-11-12",2021,"day",0.586,0.616,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.0927,0.719,148.088,"4pryE6cN2gFL1FVF5fYINl",242096,FALSE,FALSE,"Leave The Door Open",2,"track","An Evening With Silk Sonic","F","major","F major"
"3","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2021-11-12",2021,"day",0.783,0.627,0.627,2,-8.521,1,0.102,0.00756,0,0.0606,0.0606,0.48,100.025,"7suB6D6uKX5DfPukdGaz0W",219389,FALSE,FALSE,"Fly As Me",3,"track","An Evening With Silk Sonic","D","major","D major"
"4","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2021-11-12",2021,"day",0.651,0.703,0.703,0,-8.958,0,0.0816,0.0297,0,0.0608,0.0608,0.647,140.051,"6jGAh1bFnXt1Muj9zeHveZ",249444,FALSE,FALSE,"After Last Night (with Thundercat & Bootsy Collins)",4,"track","An Evening With Silk Sonic","C","minor","C minor"
"5","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2021-11-12",2021,"day",0.627,0.618,0.618,2,-8.529,1,0.0437,0.0558,0,0.351,0.351,0.848,82.03,"1oERlssLrpssCAY6Yqqs6c",197442,FALSE,FALSE,"Smokin Out The Window",5,"track","An Evening With Silk Sonic","D","major","D major"
"6","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2021-11-12",2021,"day",0.548,0.627,0.627,9,-8.949,1,0.0409,0.0471,0,0.285,0.285,0.493,143.994,"5lka5RUbLVQGO94mKAPMRO",255455,FALSE,FALSE,"Put On A Smile",6,"track","An Evening With Silk Sonic","A","major","A major"
"7","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2021-11-12",2021,"day",0.836,0.622,0.622,1,-11.003,1,0.0946,0.00269,0.000566,0.335,0.335,0.892,102.015,"2K6vUau7bnZUamjbRSOOvJ",165000,TRUE,FALSE,"777",7,"track","An Evening With Silk Sonic","C#","major","C# major"
"8","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2021-11-12",2021,"day",0.708,0.598,0.598,5,-8.365,1,0.0291,0.037,0,0.17,0.17,0.698,112.027,"3WTWh2WDk4j8GUCGj4xfOd",203122,FALSE,FALSE,"Skate",8,"track","An Evening With Silk Sonic","F","major","F major"
"9","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2021-11-12",2021,"day",0.711,0.605,0.605,6,-9.801,0,0.031,0.0396,2.29e-05,0.104,0.104,0.807,140.981,"2ALh2jqA7KldpHMUHvRomw",307014,FALSE,FALSE,"Love's Train",9,"track","An Evening With Silk Sonic","F#","minor","F# minor"
"10","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2021-11-12",2021,"day",0.482,0.548,0.548,11,-9.946,1,0.0373,0.0363,2.28e-06,0.3,0.3,0.346,76.017,"2NqyjfDXy0XfXCSPXMsKzi",284870,FALSE,FALSE,"Blast Off",10,"track","An Evening With Silk Sonic","B","major","B major"
"11","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2016-11-17",2016,"day",0.818,0.803,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.153,0.632,106.97,"6b8Be6ljOzmkOmFslEb23P",225983,FALSE,FALSE,"24K Magic",1,"track","24K Magic","C#","major","C# major"
"12","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2016-11-17",2016,"day",0.571,0.539,0.539,5,-4.446,0,0.116,0.0208,0,0.125,0.125,0.727,202.103,"0mBKv9DkYfQHjdMcw2jdyI",186973,FALSE,FALSE,"Chunky",2,"track","24K Magic","F","minor","F minor"
"13","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","album","2016-11-17",2016,"day",0.853,0.871,0.871,8,-3.715,1,0.0851,0.0145,6.84e-05,0.198,0.198,0.863,124.021,"1I6pKIyaBp4OebTGLJpCCC",210053,FALSE,FALSE,"Perm",3,"track","24K Magic","G#","major","G# major"
